fetch_date,title,hf_id,arxiv_id,votes
2024-01-01,LARP: Language-Agent Role Play for Open-World Games,2312.17653,2312.17653,34
2024-01-01,"FlowVid: Taming Imperfect Optical Flows for Consistent Video-to-Video
  Synthesis",2312.17681,2312.17681,20
2024-01-01,Learning Vision from Models Rivals Learning Vision from Data,2312.17742,2312.17742,16
2024-01-01,"PanGu-π: Enhancing Language Model Architectures via Nonlinearity
  Compensation",2312.17276,2312.17276,16
2024-01-01,"Gemini in Reasoning: Unveiling Commonsense in Multimodal Large Language
  Models",2312.17661,2312.17661,15
2024-01-02,"DocLLM: A layout-aware generative language model for multimodal document
  understanding",2401.00908,2401.00908,189
2024-01-02,Improving Text Embeddings with Large Language Models,2401.00368,2401.00368,82
2024-01-02,"Self-Play Fine-Tuning Converts Weak Language Models to Strong Language
  Models",2401.01335,2401.01335,68
2024-01-02,LLaMA Beyond English: An Empirical Study on Language Capability Transfer,2401.01055,2401.01055,56
2024-01-02,"Beyond Chinchilla-Optimal: Accounting for Inference in Language Model
  Scaling Laws",2401.00448,2401.00448,31
2024-01-02,LLM Maybe LongLM: Self-Extend LLM Context Window Without Tuning,2401.01325,2401.01325,28
2024-01-02,"Astraios: Parameter-Efficient Instruction Tuning Code Large Language
  Models",2401.00788,2401.00788,24
2024-01-02,VideoDrafter: Content-Consistent Multi-Scene Video Generation with LLM,2401.01256,2401.01256,22
2024-01-02,A Comprehensive Study of Knowledge Editing for Large Language Models,2401.01286,2401.01286,21
2024-01-02,"COSMO: COntrastive Streamlined MultimOdal Model with Interleaved
  Pre-Training",2401.00849,2401.00849,17
2024-01-02,TrailBlazer: Trajectory Control for Diffusion-Based Video Generation,2401.00896,2401.00896,16
2024-01-02,Boosting Large Language Model for Speech Synthesis: An Empirical Study,2401.00246,2401.00246,14
2024-01-02,Unicron: Economizing Self-Healing LLM Training at Scale,2401.00134,2401.00134,12
2024-01-02,Q-Refine: A Perceptual Quality Refiner for AI-Generated Image,2401.01117,2401.01117,10
2024-01-02,GeoGalactica: A Scientific Large Language Model in Geoscience,2401.00434,2401.00434,10
2024-01-02,"SteinDreamer: Variance Reduction for Text-to-3D Score Distillation via
  Stein Identity",2401.00604,2401.00604,6
2024-01-03,"GPT-4V(ision) is a Generalist Web Agent, if Grounded",2401.01614,2401.01614,23
2024-01-03,"Moonshot: Towards Controllable Video Generation and Editing with
  Multimodal Conditions",2401.01827,2401.01827,18
2024-01-03,Boundary Attention: Learning to Find Faint Boundaries at Any Resolution,2401.00935,2401.00935,18
2024-01-03,"En3D: An Enhanced Generative Model for Sculpting 3D Humans from 2D
  Synthetic Data",2401.01173,2401.01173,12
2024-01-03,A Vision Check-up for Language Models,2401.01862,2401.01862,11
2024-01-03,Multilingual Instruction Tuning With Just a Pinch of Multilinguality,2401.01854,2401.01854,11
2024-01-03,Taming Mode Collapse in Score Distillation for Text-to-3D Generation,2401.00909,2401.00909,10
